diseaseId,targetId,,score
EFO_0000181,ENSG00000141510,972,0.7000000000000001
EFO_0000209,ENSG00000196092,2503,0.32
EFO_0000222,ENSG00000245848,48,0.32
EFO_0000222,ENSG00000245848,336,0.32
EFO_0000222,ENSG00000245848,891,0.32
EFO_0000239,ENSG00000117118,2839,0.32
EFO_0000239,ENSG00000117118,1972,0.02
EFO_0000239,ENSG00000125952,47,0.02
EFO_0000239,ENSG00000125952,1631,0.02
EFO_0000239,ENSG00000143252,320,0.02
EFO_0000239,ENSG00000204370,624,0.92
EFO_0000253,ENSG00000003393,4753,0.9
EFO_0000253,ENSG00000015479,1995,0.02
EFO_0000253,ENSG00000083937,250,0.32
EFO_0000253,ENSG00000089280,5194,0.32
EFO_0000253,ENSG00000089280,1192,0.02
EFO_0000253,ENSG00000107290,591,0.32
EFO_0000253,ENSG00000107290,642,0.32
EFO_0000253,ENSG00000107290,3512,0.32
EFO_0000253,ENSG00000120948,2381,0.9
EFO_0000253,ENSG00000120948,2686,0.32
EFO_0000253,ENSG00000120948,4665,0.32
EFO_0000253,ENSG00000124164,3288,0.32
EFO_0000253,ENSG00000142168,5282,0.9
EFO_0000253,ENSG00000204843,290,0.32
EFO_0000253,ENSG00000204843,37,0.02
EFO_0000253,ENSG00000214274,5632,0.32
EFO_0000253,ENSG00000280987,5689,0.32
EFO_0000279,ENSG00000066923,152,0.72
EFO_0000279,ENSG00000133863,2962,0.32
EFO_0000305,ENSG00000012048,2945,0.9
EFO_0000305,ENSG00000012048,2226,0.0
EFO_0000305,ENSG00000012048,4259,0.0
EFO_0000305,ENSG00000054523,5560,0.0
EFO_0000305,ENSG00000095002,2477,0.3
EFO_0000305,ENSG00000104320,5631,0.3
EFO_0000305,ENSG00000118046,3251,0.0
EFO_0000305,ENSG00000122512,5223,0.3
EFO_0000305,ENSG00000139618,3853,0.3
EFO_0000305,ENSG00000139618,2703,0.0
EFO_0000305,ENSG00000141510,3403,0.0
EFO_0000305,ENSG00000158169,94,0.3
EFO_0000318,ENSG00000057294,5375,0.02
EFO_0000318,ENSG00000092054,4738,0.32
EFO_0000318,ENSG00000092054,4488,0.05
EFO_0000318,ENSG00000092054,2401,0.02
EFO_0000318,ENSG00000096696,714,0.32
EFO_0000318,ENSG00000096696,1084,0.32
EFO_0000318,ENSG00000096696,2219,0.32
EFO_0000318,ENSG00000101306,3659,0.02
EFO_0000318,ENSG00000106617,2827,0.32
EFO_0000318,ENSG00000106617,4349,0.32
EFO_0000318,ENSG00000111245,1367,0.32
EFO_0000318,ENSG00000112769,2667,0.32
EFO_0000318,ENSG00000112769,4064,0.02
EFO_0000318,ENSG00000118194,2943,0.35
EFO_0000318,ENSG00000118194,405,0.32
EFO_0000318,ENSG00000118271,4042,0.02
EFO_0000318,ENSG00000118729,5639,0.32
EFO_0000318,ENSG00000122367,2282,0.32
EFO_0000318,ENSG00000122367,1388,0.02
EFO_0000318,ENSG00000129170,402,0.32
EFO_0000318,ENSG00000129991,2552,0.02
EFO_0000318,ENSG00000134571,587,0.32
EFO_0000318,ENSG00000134571,5463,0.32
EFO_0000318,ENSG00000134571,1959,0.02
EFO_0000318,ENSG00000134755,414,0.32
EFO_0000318,ENSG00000134755,3008,0.32
EFO_0000318,ENSG00000134755,2341,0.02
EFO_0000318,ENSG00000140416,5658,0.02
EFO_0000318,ENSG00000149596,4650,0.02
EFO_0000318,ENSG00000155657,3428,0.32
EFO_0000318,ENSG00000155657,5469,0.32
EFO_0000318,ENSG00000155657,4075,0.02
EFO_0000318,ENSG00000159251,5001,0.02
EFO_0000318,ENSG00000160789,2013,0.32
EFO_0000318,ENSG00000160789,2918,0.32
EFO_0000318,ENSG00000160789,4917,0.02
EFO_0000318,ENSG00000198626,60,0.32
EFO_0000318,ENSG00000198626,1524,0.32
EFO_0000318,ENSG00000198626,4557,0.32
EFO_0000318,ENSG00000203867,3709,0.92
EFO_0000365,ENSG00000116062,3793,0.9
EFO_0000365,ENSG00000134982,612,0.9
EFO_0000384,ENSG00000167207,1750,0.32
EFO_0000384,ENSG00000167207,2418,0.32
EFO_0000384,ENSG00000167207,3214,0.02
EFO_0000389,ENSG00000135446,5542,0.32
EFO_0000389,ENSG00000147889,3275,0.32
EFO_0000389,ENSG00000147889,4853,0.32
EFO_0000389,ENSG00000147889,5494,0.02
EFO_0000389,ENSG00000198211,4330,0.32
EFO_0000389,ENSG00000198211,3326,0.02
EFO_0000389,ENSG00000258839,3830,0.32
EFO_0000389,ENSG00000258839,4570,0.32
EFO_0000389,ENSG00000258839,4423,0.02
EFO_0000407,ENSG00000035403,549,0.32
EFO_0000407,ENSG00000035403,2519,0.32
EFO_0000407,ENSG00000035403,5058,0.32
EFO_0000407,ENSG00000046604,697,0.3
EFO_0000407,ENSG00000077522,207,0.32
EFO_0000407,ENSG00000077522,3092,0.32
EFO_0000407,ENSG00000078114,1266,0.32
EFO_0000407,ENSG00000078114,3718,0.02
EFO_0000407,ENSG00000092054,1710,0.77
EFO_0000407,ENSG00000092054,4250,0.75
EFO_0000407,ENSG00000092054,3918,0.32
EFO_0000407,ENSG00000096696,5648,0.72
EFO_0000407,ENSG00000101605,2338,0.3
EFO_0000407,ENSG00000111245,4924,0.32
EFO_0000407,ENSG00000112769,4421,0.02
EFO_0000407,ENSG00000122367,2474,0.9
EFO_0000407,ENSG00000129170,1008,0.02
EFO_0000407,ENSG00000129170,4457,0.02
EFO_0000407,ENSG00000140416,3440,0.32
EFO_0000407,ENSG00000142611,5122,0.9
EFO_0000407,ENSG00000149575,5380,0.32
EFO_0000407,ENSG00000151929,1450,0.32
EFO_0000407,ENSG00000155657,818,0.72
EFO_0000407,ENSG00000155657,1085,0.72
EFO_0000407,ENSG00000155657,1622,0.72
EFO_0000407,ENSG00000162614,4409,0.02
EFO_0000407,ENSG00000173991,3969,0.72
EFO_0000407,ENSG00000183873,4865,0.9
EFO_0000407,ENSG00000183873,2543,0.0
EFO_0000407,ENSG00000198523,2970,0.32
EFO_0000407,ENSG00000198523,4311,0.3
EFO_0000407,ENSG00000198947,575,0.02
EFO_0000407,ENSG00000203867,61,0.32
EFO_0000407,ENSG00000203867,3226,0.32
EFO_0000407,ENSG00000203867,2913,0.02
EFO_0000474,ENSG00000007541,4991,0.32
EFO_0000474,ENSG00000007541,4020,0.02
EFO_0000474,ENSG00000132932,3640,0.3
EFO_0000479,ENSG00000117400,841,0.32
EFO_0000479,ENSG00000117400,4419,0.02
EFO_0000479,ENSG00000117400,5544,0.02
EFO_0000508,ENSG00000001626,4546,0.32
EFO_0000508,ENSG00000077721,4118,0.92
EFO_0000508,ENSG00000080503,711,0.92
EFO_0000508,ENSG00000091704,2889,0.32
EFO_0000508,ENSG00000091704,2491,0.02
EFO_0000508,ENSG00000102100,3282,0.32
EFO_0000508,ENSG00000108510,5490,0.92
EFO_0000508,ENSG00000108883,2742,0.92
EFO_0000508,ENSG00000116062,3197,0.32
EFO_0000508,ENSG00000116539,4560,0.32
EFO_0000508,ENSG00000117139,4039,0.32
EFO_0000508,ENSG00000118058,2348,0.92
EFO_0000508,ENSG00000135111,5087,0.72
EFO_0000508,ENSG00000142599,4492,0.32
EFO_0000508,ENSG00000155657,3847,0.32
EFO_0000508,ENSG00000165671,4682,0.92
EFO_0000508,ENSG00000167552,1019,0.92
EFO_0000508,ENSG00000167632,2571,0.92
EFO_0000508,ENSG00000169031,1557,0.92
EFO_0000508,ENSG00000171316,4399,0.32
EFO_0000508,ENSG00000177565,2805,0.72
EFO_0000508,ENSG00000179950,2196,0.92
EFO_0000508,ENSG00000180176,1067,0.92
EFO_0000508,ENSG00000185760,1949,0.32
EFO_0000508,ENSG00000198691,5621,0.92
EFO_0000508,ENSG00000204983,2069,0.02
EFO_0000508,ENSG00000251322,917,0.32
EFO_0000508,ENSG00000272333,391,0.92
EFO_0000538,ENSG00000092054,2860,0.77
EFO_0000538,ENSG00000092054,1230,0.32
EFO_0000538,ENSG00000092054,1355,0.32
EFO_0000538,ENSG00000101605,1789,0.32
EFO_0000538,ENSG00000101605,3144,0.32
