diseaseId,targetId,score
EFO_0000181,ENSG00000141510,0.7000000000000001
EFO_0000209,ENSG00000196092,0.32
EFO_0000222,ENSG00000245848,0.32
EFO_0000239,ENSG00000117118,0.17
EFO_0000239,ENSG00000125952,0.02
EFO_0000239,ENSG00000143252,0.02
EFO_0000239,ENSG00000204370,0.92
EFO_0000253,ENSG00000003393,0.9
EFO_0000253,ENSG00000015479,0.02
EFO_0000253,ENSG00000083937,0.32
EFO_0000253,ENSG00000089280,0.17
EFO_0000253,ENSG00000107290,0.32
EFO_0000253,ENSG00000120948,0.32
EFO_0000253,ENSG00000124164,0.32
EFO_0000253,ENSG00000142168,0.9
EFO_0000253,ENSG00000204843,0.17
EFO_0000253,ENSG00000214274,0.32
EFO_0000253,ENSG00000280987,0.32
EFO_0000279,ENSG00000066923,0.72
EFO_0000279,ENSG00000133863,0.32
EFO_0000305,ENSG00000012048,0.0
EFO_0000305,ENSG00000054523,0.0
EFO_0000305,ENSG00000095002,0.3
EFO_0000305,ENSG00000104320,0.3
EFO_0000305,ENSG00000118046,0.0
EFO_0000305,ENSG00000122512,0.3
EFO_0000305,ENSG00000139618,0.15
EFO_0000305,ENSG00000141510,0.0
EFO_0000305,ENSG00000158169,0.3
EFO_0000318,ENSG00000057294,0.02
EFO_0000318,ENSG00000092054,0.02
EFO_0000318,ENSG00000096696,0.32
EFO_0000318,ENSG00000101306,0.02
EFO_0000318,ENSG00000106617,0.32
EFO_0000318,ENSG00000111245,0.32
EFO_0000318,ENSG00000112769,0.17
EFO_0000318,ENSG00000118194,0.33499999999999996
EFO_0000318,ENSG00000118271,0.02
EFO_0000318,ENSG00000118729,0.32
EFO_0000318,ENSG00000122367,0.17
EFO_0000318,ENSG00000129170,0.32
EFO_0000318,ENSG00000129991,0.02
EFO_0000318,ENSG00000134571,0.02
EFO_0000318,ENSG00000134755,0.32
EFO_0000318,ENSG00000140416,0.02
EFO_0000318,ENSG00000149596,0.02
EFO_0000318,ENSG00000155657,0.32
EFO_0000318,ENSG00000159251,0.02
EFO_0000318,ENSG00000160789,0.32
EFO_0000318,ENSG00000198626,0.02
EFO_0000318,ENSG00000203867,0.92
EFO_0000365,ENSG00000116062,0.9
EFO_0000365,ENSG00000134982,0.9
EFO_0000384,ENSG00000167207,0.32
EFO_0000389,ENSG00000135446,0.32
EFO_0000389,ENSG00000147889,0.32
EFO_0000389,ENSG00000198211,0.17
EFO_0000389,ENSG00000258839,0.32
EFO_0000407,ENSG00000035403,0.32
EFO_0000407,ENSG00000046604,0.3
EFO_0000407,ENSG00000077522,0.32
EFO_0000407,ENSG00000078114,0.17
EFO_0000407,ENSG00000092054,0.75
EFO_0000407,ENSG00000096696,0.72
EFO_0000407,ENSG00000101605,0.3
EFO_0000407,ENSG00000111245,0.32
EFO_0000407,ENSG00000112769,0.02
EFO_0000407,ENSG00000122367,0.9
EFO_0000407,ENSG00000129170,0.02
EFO_0000407,ENSG00000140416,0.32
EFO_0000407,ENSG00000142611,0.9
EFO_0000407,ENSG00000149575,0.32
EFO_0000407,ENSG00000151929,0.32
EFO_0000407,ENSG00000155657,0.32
EFO_0000407,ENSG00000162614,0.02
EFO_0000407,ENSG00000173991,0.72
EFO_0000407,ENSG00000183873,0.45
EFO_0000407,ENSG00000198523,0.31
EFO_0000407,ENSG00000198947,0.02
EFO_0000407,ENSG00000203867,0.32
EFO_0000474,ENSG00000007541,0.17
EFO_0000474,ENSG00000132932,0.3
EFO_0000479,ENSG00000117400,0.02
EFO_0000508,ENSG00000001626,0.32
EFO_0000508,ENSG00000077721,0.92
EFO_0000508,ENSG00000080503,0.92
EFO_0000508,ENSG00000091704,0.17
EFO_0000508,ENSG00000102100,0.32
EFO_0000508,ENSG00000108510,0.92
EFO_0000508,ENSG00000108883,0.92
EFO_0000508,ENSG00000116062,0.32
EFO_0000508,ENSG00000116539,0.32
EFO_0000508,ENSG00000117139,0.32
EFO_0000508,ENSG00000118058,0.92
EFO_0000508,ENSG00000135111,0.72
EFO_0000508,ENSG00000142599,0.32
EFO_0000508,ENSG00000155657,0.32
EFO_0000508,ENSG00000165671,0.92
EFO_0000508,ENSG00000167552,0.92
EFO_0000508,ENSG00000167632,0.92
EFO_0000508,ENSG00000169031,0.92
EFO_0000508,ENSG00000171316,0.32
EFO_0000508,ENSG00000177565,0.72
EFO_0000508,ENSG00000179950,0.92
EFO_0000508,ENSG00000180176,0.92
EFO_0000508,ENSG00000185760,0.32
EFO_0000508,ENSG00000198691,0.92
EFO_0000508,ENSG00000204983,0.02
EFO_0000508,ENSG00000251322,0.32
EFO_0000508,ENSG00000272333,0.92
EFO_0000538,ENSG00000092054,0.32
EFO_0000538,ENSG00000101605,0.32
EFO_0000538,ENSG00000128591,0.32
EFO_0000538,ENSG00000129991,0.32
EFO_0000538,ENSG00000134571,0.32
EFO_0000538,ENSG00000136383,0.92
EFO_0000538,ENSG00000140416,0.02
EFO_0000538,ENSG00000149596,0.32
EFO_0000538,ENSG00000155657,0.02
EFO_0000538,ENSG00000160808,0.32
EFO_0000538,ENSG00000162614,0.32
EFO_0000571,ENSG00000141510,0.7000000000000001
EFO_0000621,ENSG00000054523,0.02
EFO_0000621,ENSG00000171094,0.17
EFO_0000649,ENSG00000109861,0.32
EFO_0000676,ENSG00000141527,0.32
EFO_0000681,ENSG00000105976,0.02
EFO_0000685,ENSG00000159339,0.9
EFO_0000729,ENSG00000167207,0.02
EFO_0000768,ENSG00000164362,0.32
EFO_0000773,ENSG00000189056,0.32
EFO_0001059,ENSG00000107554,0.02
EFO_0001059,ENSG00000109501,0.32
EFO_0001059,ENSG00000160285,0.32
EFO_0001059,ENSG00000163820,0.32
EFO_0001059,ENSG00000213139,0.02
EFO_0001063,ENSG00000006611,0.32
EFO_0001063,ENSG00000079335,0.9
EFO_0001063,ENSG00000091010,0.32
EFO_0001063,ENSG00000091536,0.32
EFO_0001063,ENSG00000095397,0.05
EFO_0001063,ENSG00000095777,0.32
EFO_0001063,ENSG00000100106,0.32
EFO_0001063,ENSG00000100473,0.02
EFO_0001063,ENSG00000107736,0.7000000000000001
EFO_0001063,ENSG00000109927,0.32
EFO_0001063,ENSG00000112319,0.32
EFO_0001063,ENSG00000119715,0.32
EFO_0001063,ENSG00000131504,0.02
EFO_0001063,ENSG00000137474,0.32
EFO_0001063,ENSG00000137710,0.32
EFO_0001063,ENSG00000162065,0.32
EFO_0001063,ENSG00000165091,0.17
EFO_0001063,ENSG00000167210,0.32
EFO_0001063,ENSG00000176058,0.9
EFO_0001063,ENSG00000179855,0.02
EFO_0001063,ENSG00000188162,0.9
EFO_0001063,ENSG00000196586,0.02
EFO_0001063,ENSG00000204248,0.32
EFO_0001063,ENSG00000260272,0.32
EFO_0001063,ENSG00000284922,0.32
EFO_0001071,ENSG00000146648,0.32
EFO_0001073,ENSG00000166603,0.32
EFO_0001075,ENSG00000139618,0.9
EFO_0001361,ENSG00000171303,0.32
EFO_0001361,ENSG00000204217,0.9
EFO_0001365,ENSG00000000971,0.32
EFO_0001365,ENSG00000173976,0.32
EFO_0002428,ENSG00000113721,0.92
EFO_0002508,ENSG00000159363,0.05
EFO_0002508,ENSG00000186868,0.32
EFO_0002508,ENSG00000188906,0.35
EFO_0002508,ENSG00000204120,0.05
EFO_0002614,ENSG00000171105,0.9
EFO_0002630,ENSG00000129991,0.92
EFO_0002918,ENSG00000141510,0.9
EFO_0002939,ENSG00000107882,0.02
EFO_0003086,ENSG00000008710,0.92
EFO_0003108,ENSG00000206536,0.3
EFO_0003756,ENSG00000128739,0.32
EFO_0003756,ENSG00000140521,0.17
EFO_0003756,ENSG00000167522,0.02
EFO_0003756,ENSG00000204406,0.92
EFO_0003758,ENSG00000100888,0.32
EFO_0003783,ENSG00000101276,0.9
EFO_0003847,ENSG00000015171,0.32
EFO_0003847,ENSG00000068366,0.72
EFO_0003847,ENSG00000078369,0.92
EFO_0003847,ENSG00000084774,0.32
EFO_0003847,ENSG00000126012,0.72
EFO_0003847,ENSG00000130294,0.32
EFO_0003847,ENSG00000135929,0.3
EFO_0003847,ENSG00000145864,0.32
EFO_0003847,ENSG00000151092,0.7000000000000001
EFO_0003847,ENSG00000152217,0.9
EFO_0003847,ENSG00000157933,0.3
EFO_0003847,ENSG00000160200,0.3
EFO_0003847,ENSG00000165288,0.32
EFO_0003847,ENSG00000168036,0.32
EFO_0003847,ENSG00000170004,0.7000000000000001
EFO_0003847,ENSG00000172915,0.72
EFO_0003847,ENSG00000197102,0.16
EFO_0003847,ENSG00000197283,0.32
EFO_0003847,ENSG00000273079,0.02
EFO_0003867,ENSG00000072778,0.72
EFO_0003869,ENSG00000012048,0.32
EFO_0003869,ENSG00000139618,0.32
EFO_0003893,ENSG00000198727,0.7000000000000001
EFO_0003959,ENSG00000103067,0.3
EFO_0004127,ENSG00000118271,0.5
EFO_0004145,ENSG00000092054,0.17
EFO_0004145,ENSG00000128591,0.32
EFO_0004190,ENSG00000123240,0.02
EFO_0004207,ENSG00000135069,0.3
EFO_0004214,ENSG00000166949,0.92
EFO_0004236,ENSG00000100342,0.9
EFO_0004236,ENSG00000203485,0.32
EFO_0004238,ENSG00000001617,0.32
EFO_0004248,ENSG00000197653,0.3
EFO_0004255,ENSG00000102900,0.9
EFO_0004255,ENSG00000116218,0.9
EFO_0004255,ENSG00000130402,0.3
EFO_0004255,ENSG00000137672,0.3
EFO_0004255,ENSG00000138193,0.3
EFO_0004261,ENSG00000161011,0.17
EFO_0004266,ENSG00000106410,0.02
EFO_0004266,ENSG00000147180,0.02
EFO_0004266,ENSG00000183770,0.9
EFO_0004266,ENSG00000184304,0.32
EFO_0004266,ENSG00000225830,0.32
EFO_0004269,ENSG00000053918,0.37
EFO_0004269,ENSG00000055118,0.32
EFO_0004269,ENSG00000125434,0.02
EFO_0004269,ENSG00000183873,0.17
EFO_0004278,ENSG00000096696,0.3
EFO_0004278,ENSG00000138622,0.32
EFO_0004288,ENSG00000134982,0.3
EFO_0004576,ENSG00000244734,0.32
EFO_0004705,ENSG00000171316,0.92
EFO_0004720,ENSG00000171867,0.32
EFO_0004895,ENSG00000178235,0.32
EFO_0004911,ENSG00000084674,0.32
EFO_0004911,ENSG00000130164,0.32
EFO_0004911,ENSG00000157978,0.02
EFO_0004911,ENSG00000169174,0.32
EFO_0005138,ENSG00000055118,0.9
EFO_0005207,ENSG00000141448,0.02
EFO_0005207,ENSG00000185551,0.02
EFO_0005303,ENSG00000183873,0.32
EFO_0005410,ENSG00000135925,0.52
EFO_0005410,ENSG00000198807,0.02
EFO_0005560,ENSG00000182197,0.92
EFO_0005569,ENSG00000119614,0.02
EFO_0005569,ENSG00000134438,0.17
EFO_0005569,ENSG00000137868,0.9
EFO_0005569,ENSG00000156466,0.32
EFO_0005569,ENSG00000235718,0.02
EFO_0005571,ENSG00000155850,0.32
EFO_0005842,ENSG00000062822,0.185
EFO_0005842,ENSG00000095002,0.9
EFO_0005842,ENSG00000100393,0.02
EFO_0005842,ENSG00000134982,0.3
EFO_0005842,ENSG00000142539,0.02
EFO_0005917,ENSG00000022355,0.32
EFO_0005917,ENSG00000182389,0.32
EFO_0005917,ENSG00000196557,0.02
EFO_0005952,ENSG00000166710,0.7000000000000001
EFO_0006318,ENSG00000076242,0.32
EFO_0006332,ENSG00000105697,0.32
EFO_0006332,ENSG00000106327,0.72
EFO_0006792,ENSG00000145335,0.92
EFO_0006946,ENSG00000144285,0.02
EFO_0007193,ENSG00000021826,0.32
EFO_0007323,ENSG00000125414,0.32
EFO_0007409,ENSG00000036473,0.37
EFO_0008506,ENSG00000133895,0.32
EFO_0009014,ENSG00000162129,0.32
EFO_0009015,ENSG00000126705,0.32
EFO_0009022,ENSG00000179941,0.72
EFO_0009023,ENSG00000181004,0.32
EFO_0009027,ENSG00000122507,0.32
EFO_0009028,ENSG00000116690,0.0
EFO_0009030,ENSG00000185024,0.9
EFO_0009037,ENSG00000134905,0.32
EFO_0009044,ENSG00000187741,0.72
EFO_0009046,ENSG00000221829,0.9
EFO_0009050,ENSG00000198793,0.32
EFO_0009057,ENSG00000015133,0.02
EFO_0009068,ENSG00000100697,0.32
EFO_0009071,ENSG00000081248,0.02
EFO_0009071,ENSG00000196218,0.32
EFO_0009073,ENSG00000151611,0.02
EFO_0009074,ENSG00000139428,0.02
EFO_0009075,ENSG00000164209,0.32
EFO_0009081,ENSG00000172361,0.32
EFO_0009135,ENSG00000118246,0.32
EFO_0009136,ENSG00000156925,0.92
EFO_0009138,ENSG00000196569,0.02
EFO_0009141,ENSG00000066468,0.92
EFO_0009142,ENSG00000122367,0.32
EFO_0009142,ENSG00000128591,0.02
EFO_0009143,ENSG00000196218,0.32
EFO_0009144,ENSG00000106009,0.32
EFO_0009145,ENSG00000130714,0.32
EFO_0009145,ENSG00000214960,0.32
EFO_0009153,ENSG00000103335,0.32
EFO_0009158,ENSG00000163382,0.32
EFO_0009160,ENSG00000117724,0.02
EFO_0009295,ENSG00000093072,0.32
EFO_0009296,ENSG00000132781,0.32
EFO_0009297,ENSG00000184634,0.9
EFO_0009298,ENSG00000006695,0.32
EFO_0009298,ENSG00000118246,0.32
EFO_0009299,ENSG00000072864,0.02
EFO_0009299,ENSG00000106799,0.02
EFO_0009299,ENSG00000130700,0.0
EFO_0009299,ENSG00000133392,0.02
EFO_0009299,ENSG00000163513,0.52
EFO_0009299,ENSG00000166147,0.32
EFO_0009299,ENSG00000166949,0.32
EFO_0009299,ENSG00000168906,0.32
EFO_0009384,ENSG00000115339,0.02
EFO_0009384,ENSG00000133116,0.02
EFO_0009387,ENSG00000010704,0.92
EFO_0009647,ENSG00000145375,0.02
EFO_0009649,ENSG00000183765,0.0
EFO_0009911,ENSG00000076242,0.32
EFO_0009911,ENSG00000095002,0.32
EFO_0009911,ENSG00000116062,0.32
EFO_0009911,ENSG00000119888,0.32
EFO_0009911,ENSG00000122512,0.32
EFO_0010253,ENSG00000100393,0.32
EFO_0010642,ENSG00000160551,0.92
EFO_0010642,ENSG00000168137,0.32
EFO_0010647,ENSG00000168610,0.32
EFO_0010661,ENSG00000198719,0.9
EFO_0010953,ENSG00000116786,0.17
EFO_0010954,ENSG00000147044,0.32
EFO_0010956,ENSG00000157911,0.02
EFO_0011064,ENSG00000198967,0.32
EFO_1000062,ENSG00000115850,0.32
EFO_1000309,ENSG00000196712,0.92
EFO_1000453,ENSG00000073578,0.32
EFO_1000453,ENSG00000117118,0.32
EFO_1000453,ENSG00000143252,0.32
EFO_1000855,ENSG00000196218,0.72
EFO_1000954,ENSG00000139351,0.02
EFO_1001010,ENSG00000183454,0.17
EFO_1001087,ENSG00000134371,0.02
EFO_1001450,ENSG00000134571,0.3
EFO_1001450,ENSG00000183873,0.7000000000000001
EFO_1001450,ENSG00000197616,0.3
EFO_1001467,ENSG00000282278,0.32
EFO_1001496,ENSG00000008710,0.02
EFO_1001496,ENSG00000118762,0.32
