,diseaseId,targetId,score
0,Orphanet_369897,ENSG00000112234,0.72
1,Orphanet_309297,ENSG00000141012,0.32
2,MONDO_0014368,ENSG00000128513,0.02
3,HP_0001626,ENSG00000151067,0.02
4,Orphanet_609,ENSG00000155657,0.02
5,HP_0001626,ENSG00000078114,0.02
6,Orphanet_77298,ENSG00000181449,0.92
7,Orphanet_99739,ENSG00000077522,0.9
8,Orphanet_99739,ENSG00000111245,0.32
9,Orphanet_382,ENSG00000130005,0.9500000000000001
10,Orphanet_140162,ENSG00000135956,0.02
11,MONDO_0100062,ENSG00000144285,0.02
12,EFO_0010956,ENSG00000157911,0.02
13,Orphanet_268926,ENSG00000198793,0.97
14,Orphanet_2024,ENSG00000115904,0.02
15,Orphanet_179006,ENSG00000171608,0.02
16,Orphanet_2849,ENSG00000144535,0.32
17,Orphanet_216796,ENSG00000108821,0.02
18,Orphanet_231178,ENSG00000042781,0.9500000000000001
19,Orphanet_602,ENSG00000159921,0.92
20,Orphanet_261,ENSG00000164828,0.02
21,Orphanet_425,ENSG00000165029,0.32
22,Orphanet_474,ENSG00000157796,0.32
23,Orphanet_791,ENSG00000179270,0.32
24,Orphanet_656,ENSG00000184937,0.32
25,Orphanet_244,ENSG00000039139,0.92
26,Orphanet_79401,ENSG00000178209,0.32
27,Orphanet_1934,ENSG00000008086,0.92
28,Orphanet_91492,ENSG00000100122,0.32
29,EFO_1000453,ENSG00000073578,0.32
30,Orphanet_60030,ENSG00000106799,0.02
31,EFO_0000621,ENSG00000171094,0.02
32,HP_0001626,ENSG00000164532,0.32
33,Orphanet_506,ENSG00000198763,0.32
34,Orphanet_289176,ENSG00000197594,0.32
35,Orphanet_220460,ENSG00000177084,0.32
36,Orphanet_77293,ENSG00000166311,0.02
37,EFO_0000253,ENSG00000204843,0.02
38,EFO_1001499,ENSG00000152457,0.32
39,EFO_1001502,ENSG00000157764,0.02
40,Orphanet_29072,ENSG00000073578,0.32
41,Orphanet_610,ENSG00000142173,0.32
42,EFO_0009911,ENSG00000116062,0.92
43,Orphanet_44890,ENSG00000157404,0.02
44,Orphanet_469,ENSG00000136872,0.7000000000000001
45,EFO_0009298,ENSG00000118246,0.32
46,Orphanet_235936,ENSG00000196557,0.02
47,EFO_0000239,ENSG00000125952,0.02
48,EFO_0000222,ENSG00000245848,0.32
49,Orphanet_44890,ENSG00000134853,0.32
50,EFO_1001980,ENSG00000242110,0.32
51,Orphanet_261,ENSG00000054654,0.32
52,EFO_0003847,ENSG00000273079,0.02
53,MONDO_0013500,ENSG00000177663,0.02
54,EFO_0005842,ENSG00000062822,0.02
55,Orphanet_216804,ENSG00000164692,0.9
56,Orphanet_230,ENSG00000123454,0.05
57,Orphanet_34528,ENSG00000138798,0.02
58,EFO_0009911,ENSG00000122512,0.92
59,Orphanet_77258,ENSG00000104447,0.9
60,EFO_0000318,ENSG00000198626,0.32
61,EFO_0000407,ENSG00000203867,0.32
62,Orphanet_79328,ENSG00000086848,0.02
